Title,Subtitle,Rating,Authors,Series,Volume,Publisher,Release Date,Description,ISBN-10,ISBN-13,Google ID,No. Of Pages,Dimensions,Collections,Subjects,Notes,Cover Image URL,Info URL
100 Irish Ballads Vol2 MLC,,,Music Sales Limited,,,Music Sales Limited,,,1857200691,9781857200690,lchUAAAACAAJ,,,,,,,http://books.google.com/books?id=lchUAAAACAAJ
A crown of swords,,,Robert Jordan,,,Orbit,1997-03-20,"Elayne, Aviendha and Mat come ever closer to the bowl ter'angreal that may reverse the world's endless heatwave and restore natural weather. Egwene begins to gather all manner of women who can channel - Sea Folk, Windfinders, Wise Ones, and some surprising others. And, above all, Rand faces the dread Forsaken Sammael, in the shadows of Shadar Logoth, where the blood-hungry mist, Mashadar, waits for prey . . .",1857234030,9781857234039,_rSqQgAACAAJ,762,10.8x18.0x4.9 cm,,"Fantasy fiction, Rand al'Thor (Fictitious character), Fiction / Fantasy / Epic",,,http://books.google.com/books?id=_rSqQgAACAAJ
Absolute beginner's guide to C,,,Greg M. Perry,,,Sams Pub.,1994-01-01,"For beginning programmers, this updated edition answers all C programming questions. This bestseller talks to readers at their level, explaining every aspect of how to get started and learn the C language quickly. Readers also find out where to learn more about C. This book includes tear-out reference card of C functions and statements, a hierarchy chart, and other valuable information. It uses special icons, notes, clues, warnings, and rewards to make understanding easier. And the clear and friendly style presumes no programming knowledge.",0672305100,9780672305108,dFSrq0PJGCUC,434,19.0x24.0x2.2 cm,,"C (Computer program language), Computers / Programming Languages / C",,http://bks3.books.google.com/books?id=dFSrq0PJGCUC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=dFSrq0PJGCUC
Access 2003 all-in-one desk reference for dummies,,,"Alan Simpson, Margaret Levine Young, Alison Barrows",,,Wiley Pub.,2003-01-01,"Many people call our current era ""The Age of Information."" True, the body of information is increasing at an unprecedented pace, and information is more accessible than ever. But information doesn’t mean diddly-squat if you don’t know how to use it. Access 2003 All-In-One Desk Reference for Dummies is your one-stop guide to building databases and managing information with Access 2003, covering the basics like tables, queries, forms, and reports and more advanced functions such as using Visual Basic for Applications (VBA) and writing code. If you want, you can go all the way to geekdom, or you can simply find out how to make the most of your data to better manage your business by: Creating and modifying tables and entering and editing data Sorting, finding, and filtering data Creating queries, including update queries, action queries, and the Query Wizards Building forms with AutoForm and Wizards Creating charts and graphs from your data Maintaining, sharing, and securing your Access database Letting Access do the math, whether it’s calculating simple cost per unit or performing complex financial functions Microsoft Office Access 2003 All-In-One Desk Reference For Dummies was written by three computer gurus: Alan Simpson, author of over 80 computer books; Margaret Levine Young, co-author of several dozen computer books, including The Internet for Dummies; and Alison Barrows, book author and writer and editor of technical documentation and training material. To give you hands-on experience and demonstrate practical applications of database management, there is a Web site that complements the book and features a fully functioning mail order management database used in examples throughout the book. You can download it and follow along as you explore: Working with external data sources such as Microsoft SQL Server Writing and debugging code Using HTML, JavaScript, Jscript, VB Script, and Java to facilitate the exchange of information on the Internet among different programs on disparate platforms Using data access pages (DAP) to share information on your intranet With Access 2003 All-In-One Desk Reference For Dummies, you’ll discover how to put information to work for you.",0764539884,9780764539886,rhN_QgAACAAJ,840,18.8x24.0x4.3 cm,,"Database management, Microsoft Access, Computers / Database Management / General, Computers / Desktop Applications / General",,http://bks4.books.google.com/books?id=rhN_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=rhN_QgAACAAJ
Accounting for non-accounting students,,,J. R. Dyson,,,Pitman,1994-01-01,,027360435X,9780273604358,9_hgQgAACAAJ,574,19.0x25.0x3.2 cm,,"Accountancy, Accounting, Business & Economics / Accounting / General",,,http://books.google.com/books?id=9_hgQgAACAAJ
Advanced PC architecture,,,"William Buchanan, Austin Wilson",,,Addison-Wesley,2001-01-01,"middot; The first book ever to give a complete picture of the workings of a PC! A comprehensive guide to the component systems of the PC, this book provides a foundation to the understanding of previous, current and future PC systems, and how the specification of each component of a PC affects the overall system performance.The book outlines each of the main PC processors and contrasts their performance. It also examines each of the main interface devices and shows how they integrate into the main systems.If you are an undergraduate or professional looking for a complete understanding of the internal architecture of the PC, and how it is changing, this book is for you. It explains how systems have evolved from the original PC, keeping its compatibility with previous systems, whilst increasing its power. It also provides an insight into how the PC will evolve in the future.Key chapters: middot; Motherboards - Analyses typical motherboards and shows how each of the components interfaces together, and how the architecture affects the system performance. middot; Memory - Shows how chache memory and DRAM memory interface to the system and the processor. middot; PCI bus - Discusses the fundamentals of the PCI bus and shows its importance in the architecture of modern PCs. middot; On-line multiple choice tests for students middot; On-line PowerPoint/HTML slides of all the graphics from the book. 0201398583B04062001",0201398583,9780201398588,SdtQAAAAMAAJ,596,18.7x24.0x1.2 cm,,"Computer architecture, Microcomputers, Computers / Systems Architecture / General, Computers / Hardware / Personal Computers / General, Computers / Computer Engineering, Computers / Computer Architecture",,http://bks9.books.google.com/books?id=SdtQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=SdtQAAAAMAAJ
Advertising for dummies,,,Gary Dahl,,,John Wiley & Sons,2001-01-01,"For small businesses, effective advertising can mean the difference between fortune and failure. But if you’re going to throw your money into advertising willy-nilly you might as well just throw it away. And if your business can’t afford a big advertising firm you may have to write your own advertising copy. But could you? Don’t worry, because with Advertising For Dummies, you will! If you need help figuring out which advertising media offers you the most exposure or determining how much you can realistically spend on your advertising budget, then look no further. If you want shortcuts, insights, techniques, and money-saving facts that will get you the most bang for your advertising buck, then this is the book for you. It’s a guide to advertising for the rest of us — people for whom an advertising budget represents an important percentage of gross income and, therefore, must be spent very wisely. Inside you’ll find out how to li>Devise a realistic advertising budge Define and position your messag Create TV, radio, billboard, and Internet advertisin Use “ad-speak” effectivel This helpful guide covers every media, from Internet advertising to TV and radio to billboards or newspapers. You’ll master the fundamentals of advertising, learn to generate fresh ideas, and write great ads. You’ll write great press releases and discover the secret to saving money through co-op ads. And there’s more li>When and how to hire an ad agenc Why people choose one product over anothe Creating brochures and direct mail piece Designing an effective, inviting Web sit Sticking to a budge The difference between PR and publicit Ten secrets to writing memorable ad i>Advertising For Dummies presents the tips and tricks that advertising professionals use every day to get their message across. Now, you can use those same strategies and tactics to get the word out about your small business — and watch the money roll in",0764553771,9780764553776,htHNsrOhB-0C,342,18.8x23.4x1.9 cm,,"Advertising, Business & Economics / Advertising & Promotion",,http://bks0.books.google.com/books?id=htHNsrOhB-0C&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=htHNsrOhB-0C
AI techniques for game programming,,,Mat Buckland,,,Cengage Learning,2002-01-01,"""AI Techniques for Game Programming"" takes the difficult topics of genetic algorithms and neural networks and explains them in plain English. Gone are the tortuous mathematic equations and abstract examples to be found in other books. Each chapter takes you through the theory a step at a time, explaining clearly how you can incorporate each technique into your own games. After a whirlwind tour of Windows programming, you will learn how to use genetic algorithms for optimization, path-finding, and evolving control sequences for your game agents. Coverage of neural network basics quickly advances to evolving neural motion controllers for your game agents and applying neural networks to obstacle avoidance and map exploration. Backpropagation and pattern recognition is also explained. By the time youre done, youll know how to train a network to recognize mouse gestures and how to use state-of-the-art techniques for creating neural networks with dynamic topologies.",193184108X,9781931841085,6F9nKQdj8hwC,477,18.8x24.0x2.5 cm,,"Artificial intelligence, Computer games/ Programming, Computer games, Computers, Electronic books, Genetic algorithms, Intelligent agents (Computer software), Neural networks (Computer science), Computers / Intelligence (AI) & Semantics, Computers / Programming / Games, Computers / Software Development & Engineering / General, Games / Video & Electronic, Computers / Artificial Intelligence",,http://bks1.books.google.com/books?id=6F9nKQdj8hwC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=6F9nKQdj8hwC
Amsterdam,,,"AA Staff, Teresa Fisher, Hilary Weston, Jackie Staddon",,,AA,2007-01-15,"Ideal for business and leisure, CityPack's are succinct with all the practical information you need. The guides have been completely revamped with new content design and layout. There are four main sections (using Paris as an example) Essential Paris, Paris by Area, Where to Stay and Need to Know. Each city has been broken up into colour-coded districts, with the colour-coding cross- referenced throughout each section. Essential Paris starts with the Top 25 sights plus a locator map, then essential information to get the most of a short break in the city. Paris by Area takes you through the city, district by district, with localised shopping and entertainment listings. Where to Stay picks the best hotels to suit your budget, with web addresses listed where available. Need to Know contains all the basics for a smooth-running trip. Each district within the city has a two-page, colour-coded locator map with sights listed.",0749550821,9780749550820,mCeAAgAACAAJ,128,11.1x19.9x20.0 cm,,"Amsterdam (Netherlands), Education / General, Travel / Europe / Benelux Countries (Belgium,, Netherlands,, Luxembourg)",,,http://books.google.com/books?id=mCeAAgAACAAJ
An introduction to object-oriented analysis,objects in plain English,,David Brown,,,Wiley,1997-01-01,"It's beyond buzz-word, beyond fad, beyond experimental...;Object-Oriented methods have taken over Information Systems Development! And now those methods are closing in on Business Process Reengineering! In simple English, this outstanding new text brings objects down to earth for everyone involved in system development. Real-world examples throughout show exactly how object-oriented analysis is done in today's business world. Plus, the author explores the larger picture, examining the global movement toward the use of objects, and the ramifications for analysts and programmers in systems development. An Introduction to Object-Oriented Analysis: Objects in Plain English presents: All the in-depth theory and skills readers need for the practical application of object-oriented methods Step-by-step explanations that progress naturally from the concrete to the abstract Real case studies that illuminate the concepts and methods, and simulate the way real-world systems analysts and users go about their business",0471110280,9780471110286,zAglAQAAIAAJ,744,24.0x24.0x3.3 cm,,"Object-oriented methods (Computer science), Computers / General, Computers / Programming / General, Computers / Programming / Object Oriented",,http://bks8.books.google.com/books?id=zAglAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=zAglAQAAIAAJ
